Name;Organisation;Country;Pays;URL;Description;Location;Latitude;Longitude;Code En;Code Fr;Country Slug;Column 1;Column 9;Thematic;Portal typology;Column 14;Column 15;Column 16;Column 17;Code Es
Správa Krkonošskéhonárodníhoparku;Správa Krkonošskéhonárodníhoparku;Czech Republic;République tchèque;http://gisopendata.krnap.cz;Arcgis OpenData Portal;50.6801750268,15.6975731201;50.68017503;15.69757312;Czech Republic - Správa Krkonošskéhonárodníhoparku;République tchèque - Správa Krkonošskéhonárodníhoparku;czech-republic;;;Geospatial;Public Sector, Local Level;;;;;República Checa - Správa Krkonošskéhonárodníhoparku
South Korean Government Open Data;Korea, Republic Of;Korea, Republic of;Corée du Sud;http://data.go.kr;;37.55,126.9667;37.55;126.9667;Korea, Republic of - South Korean Government Open Data;Corée du Sud - South Korean Government Open Data;korea-republic-of;;;Local Government;Public Sector, Local Level;;;;;Corea del Sur - South Korean Government Open Data
Statistiques Tunisie;Institut National de la Statistique;Tunisia;Tunisie;http://dataportal.ins.tn;;36.8163115,10.1789489;36.8163115;10.1789489;Tunisia - Statistiques Tunisie;Tunisie - Statistiques Tunisie;tunisia;;;Statistics;Public Sector, National Level;;;;;Statistiques Tunisie
Scott Manning - Population Estimates < 10k Bc;United States;United States;Etats-Unis;http://scottmanning.com/content/year-by-year-world-population-estimates;;39.95,-75.1667;39.95;-75.1667;United States - Scott Manning - Population Estimates < 10k Bc;Etats-Unis - Scott Manning - Population Estimates < 10k Bc;united-states;;;Statistics;Others (Associations, Universities);;;;;Estados Unidos de América - Scott Manning - Population Estimates < 10k Bc
Security And Exchange Commission;United States;United States;Etats-Unis;http://www.sec.gov/open/datasets.shtml;;38.8951,-77.0367;38.8951;-77.0367;United States - Security And Exchange Commission;Etats-Unis - Security And Exchange Commission;united-states;;;Economy,Administration;Public Sector, National Level;;;;;Estados Unidos de América - Security And Exchange Commission
Union Of Concerned Scientists;United States;United States;Etats-Unis;http://www.ucsusa.org/nuclear-weapons/space-weapons/satellite-database.html#.VkYGFMrGl20;;38.8951,-77.0367;38.8951;-77.0367;United States - Union Of Concerned Scientists;Etats-Unis - Union Of Concerned Scientists;united-states;;;Statistics;Public Sector, National Level;;;;;Estados Unidos de América - Union Of Concerned Scientists
Utah Transparency;United States;United States;Etats-Unis;http://www.utah.gov/transparency;;38.2,-111.16667;38.2;-111.16667;United States - Utah Transparency;Etats-Unis - Utah Transparency;united-states;;;Local Government;Public Sector, Local Level;;;;;Estados Unidos de América - Utah Transparency
Vanuatu Meteorological Services;Vanuatu;Vanuatu;Vanuatu;http://meteo.gov.vu;;-17.75,168.3;-17.75;168.3;Vanuatu - Vanuatu Meteorological Services;Vanuatu - Vanuatu Meteorological Services;vanuatu;;;Weather Forecast;Public Sector, National Level;;;;;Vanuatu - Vanuatu Meteorological Services
Ville d'Annecy;Ville d'Annecy;France;France;http://data.annecy.opendata.arcgis.com;Arcgis OpenData Portal;45.8879613439,6.12736835136;45.88796134;6.127368351;France - Ville d'Annecy;France - Ville d'Annecy;france;;;Local Government;Public Sector, Local Level;;;;;Francia - Ville d'Annecy
Welland, On Opendata;Canada;Canada;Canada;http://welland.ca/open;;42.9833,-79.2333;42.9833;-79.2333;Canada - Welland, On Opendata;Canada - Welland, On Opendata;canada;;;Local Government;Public Sector, Local Level;;;;;Canadá - Welland, On Opendata
Datos Abiertos Ayuntamiento de Zaragoza;Ayuntamiento de Zaragoza;Spain;Espagne;http://www.zaragoza.es/ciudad/risp;Ciencia y tecnología, Comercio, Cultura y Ocio, Demografía, Deporte, Economía, Educación, Empleo, Hacienda, Legislación y Justicia, Medio Ambiente, Salud, Sector Público, Seguridad, Sociedad y Bienestar, Transporte, Turismo, Urbanismo e Infraestructuras, Vivienda;41.6559715,-0.8774604;41.6559715;-0.8774604;Spain - Datos Abiertos Ayuntamiento de Zaragoza;Espagne - Datos Abiertos Ayuntamiento de Zaragoza;spain;;;Local Government;Public Sector, Local Level;;;;;España - Datos Abiertos Ayuntamiento de Zaragoza
Open Data Badalona;Ayuntamiento de Badalona;Spain;Espagne;http://opendata.badalona.cat/od;Cultura y Ocio, Demografía, Hacienda, Medio Ambiente, Sector Público, Seguridad, Sociedad y Bienestar, Transporte, Urbanismo e Infraestructuras;41.4501408,2.24740529;41.4501408;2.24740529;Spain - Open Data Badalona;Espagne - Open Data Badalona;spain;;;Local Government;Public Sector, Local Level;;;;;España - Open Data Badalona
Portal de Transparencia y Participación ciudadana de Extremadura;Gobierno de Extremadura;Spain;Espagne;http://gobiernoabierto.gobex.es;Cultura y Ocio, Economía, Educación, Empleo, Energía, Medio Ambiente, Medio Rural, Salud, Sector Público, Transporte, Vivienda;38.9157758,-6.34621809;38.9157758;-6.34621809;Spain - Portal de Transparencia y Participación ciudadana de Extremadura;Espagne - Portal de Transparencia y Participación ciudadana de Extremadura;spain;;;Local Government;Public Sector, Local Level;;;;;España - Portal de Transparencia y Participación ciudadana de Extremadura
Gavà Obert Open Data;Ayuntamiento de Gavà;Spain;Espagne;https://gavaobert.gavaciutat.cat;Demografía, Deporte, Economía, Empleo, Sector Público, Seguridad, Sociedad y Bienestar;41.3036918,1.9988143;41.3036918;1.9988143;Spain - Gavà Obert Open Data;Espagne - Gavà Obert Open Data;spain;;;Local Government;Public Sector, Local Level;;;;;España - Gavà Obert Open Data
Portal de Transparencia del Ayuntamiento de la cuidad de Tacoronte;Diputació de Castelló;Spain;Espagne;https://datosabiertos.dipcas.es/pages/opendata;;40.4700965,0.4717859;40.4700965;0.4717859;Spain - Portal de Transparencia del Ayuntamiento de la cuidad de Tacoronte;Espagne - Portal de Transparencia del Ayuntamiento de la cuidad de Tacoronte;spain;;;Local Government;Public Sector, Local Level;;;;;España - Portal de Transparencia del Ayuntamiento de la cuidad de Tacoronte
Datos abiertos Esparreguera;Ayuntamiento de Esparreguera;Spain;Espagne;https://seu-e.cat/es/web/esparreguera/dades-obertes;Sector Público;41.53889,1.870692;41.53889;1.870692;Spain - Datos abiertos Esparreguera;Espagne - Datos abiertos Esparreguera;spain;;;Local Government;Public Sector, Local Level;;;;;España - Datos abiertos Esparreguera
Ayuntamiento de Arroyomolinos - Open Data;Ayuntamiento de Arroyomolinos;Spain;Espagne;http://www.arroyomolinos.es/open-data;;39.185569,-6.163262;39.185569;-6.163262;Spain - Ayuntamiento de Arroyomolinos - Open Data;Espagne - Ayuntamiento de Arroyomolinos - Open Data;spain;;;Local Government;Public Sector, Local Level;;;;;España - Ayuntamiento de Arroyomolinos - Open Data
Ayuntamiento de Valdefuentes - Open Data;Ayuntamiento de Valdefuentes;Spain;Espagne;http://www.valdefuentes.es/open-data;;39.27355,-6.126849;39.27355;-6.126849;Spain - Ayuntamiento de Valdefuentes - Open Data;Espagne - Ayuntamiento de Valdefuentes - Open Data;spain;;;Local Government;Public Sector, Local Level;;;;;España - Ayuntamiento de Valdefuentes - Open Data
Ayuntamiento de Aldea del Cano - Open Data;Ayuntamiento de Aldea del Cano - Open Data;Spain;Espagne;http://www.aldeadelcano.es/open-data;;39.287523,-6.318689;39.287523;-6.318689;Spain - Ayuntamiento de Aldea del Cano - Open Data;Espagne - Ayuntamiento de Aldea del Cano - Open Data;spain;;;Local Government;Public Sector, Local Level;;;;;España - Ayuntamiento de Aldea del Cano - Open Data
Ayuntamiento de Ladrillar - Open Data;Ayuntamiento de Ladrillar;Spain;Espagne;http://www.ladrillar.es/open-data;;40.449465,-6.187413;40.449465;-6.187413;Spain - Ayuntamiento de Ladrillar - Open Data;Espagne - Ayuntamiento de Ladrillar - Open Data;spain;;;Local Government;Public Sector, Local Level;;;;;España - Ayuntamiento de Ladrillar - Open Data
Portail Opendata de Namur;Ville de Namur;Belgium;Belgique;https://data.namur.be;Administration, Population, statistiques, Territoire, Urbanisme, Aménagement urbain, Voirie,  Mobilité, Environnement, Economie, Culture ...;50.4661431,4.8662326;50.4661431;4.8662326;Belgium - Portail Opendata de Namur;Belgique - Portail Opendata de Namur;belgium;2019-03-27T13:36:54-04:00;opendata@ville.namur.be;Local Government;Public Sector, Local Level;;;;;pais - Portail Opendata de Namur
The State Committee of the Republic of Uzbekistan on Land Resources, Geodesy, Cartography and State Cadastre;The State Committee of the Republic of Uzbekistan on Land Resources, Geodesy, Cartography and State Cadastre;Uzbekistan;Ouzbékistan;http://www.ygk.uz/ru/node/209;;69.209061,41.283503;69.209061;41.283503;Uzbekistan - The State Committee of the Republic of Uzbekistan on Land Resources, Geodesy, Cartography and State Cadastre;Ouzbékistan - The State Committee of the Republic of Uzbekistan on Land Resources, Geodesy, Cartography and State Cadastre;uzbekistan;2019-12-12T00:36:14-05:00;info@ygk.uz;Administration,Geospatial;Public Sector, National Level;;;;;pais - The State Committee of the Republic of Uzbekistan on Land Resources, Geodesy, Cartography and State Cadastre
Open Data Explorer;Camera di Commercio delle Marche;Italy;Italie;https://opendata.marche.camcom.it;Business Demography, Dataviz and Statistics;43.61678,13.51886;43.61678;13.51886;Italy - Open Data Explorer;Italie - Open Data Explorer;italy;2020-12-07T05:32:34-05:00;fabio.castelletti@marche.camcom.it;Economy,Statistics;Public Sector, National Level;;;;;pais - Open Data Explorer
African Development Bank Group Open Data;Burkina Faso;Burkina Faso;Burkina Faso;http://burkinafaso.opendataforafrica.org;;12.3333,-1.6667;01/12/3333;-1.6667;Burkina Faso - African Development Bank Group Open Data;Burkina Faso - African Development Bank Group Open Data;burkina-faso;;;Economy,Administration,Statistics;Public Sector, National Level;;;;;Burkina Faso - African Development Bank Group Open Data
African Development Bank Group Open Data;Central African Republic;Central African Republic;République Centrafricaine;http://car.opendataforafrica.org;;4.3667,18.5833;01/04/3667;18.5833;Central African Republic - African Development Bank Group Open Data;République Centrafricaine - African Development Bank Group Open Data;central-african-republic;;;Economy,Administration,Statistics;Public Sector, National Level;;;;;República Centroafricana - African Development Bank Group Open Data
African Development Bank Group Open Data;Somalia;Somalia;Somalie;http://somalia.opendataforafrica.org;;2.0333,45.35;01/02/0333;45.35;Somalia - African Development Bank Group Open Data;Somalie - African Development Bank Group Open Data;somalia;;;Economy,Administration,Statistics;Public Sector, National Level;;;;;Somalia - African Development Bank Group Open Data
African Development Bank Group Open Data;Tanzania, United Republic Of;Tanzania, United Republic Of;Tanzanie;http://tanzania.opendataforafrica.org;;-6.307,34.854;-6307;34854;Tanzania, United Republic Of - African Development Bank Group Open Data;Tanzanie - African Development Bank Group Open Data;tanzania-united-republic-of;;;Economy,Administration,Statistics;Public Sector, National Level;;;;;Tanzania - African Development Bank Group Open Data
AGRIS FAO;United Nations;United States;Etats-Unis;http://agris.fao.org/agris-search/index.do;;40.749,-73.968;40749;-73968;United States - AGRIS FAO;Etats-Unis - AGRIS FAO;united-states;;;Geospatial,Environment,Economy;Public Sector, International Level;;;;;Estados Unidos de América - AGRIS FAO
Alaska Division Of Geological & Geophysical Surveys;United States;United States;Etats-Unis;http://dggs.alaska.gov;;58.3,-134.41667;58.3;-134.41667;United States - Alaska Division Of Geological & Geophysical Surveys;Etats-Unis - Alaska Division Of Geological & Geophysical Surveys;united-states;;;Environment;Public Sector, Local Level;;;;;Estados Unidos de América - Alaska Division Of Geological & Geophysical Surveys
Austin, Tx Open Data;United States;United States;Etats-Unis;http://data.austintexas.gov;;30.25,-97.75;30.25;-97.75;United States - Austin, Tx Open Data;Etats-Unis - Austin, Tx Open Data;united-states;;;Local Government;Public Sector, Local Level;;;;;Estados Unidos de América - Austin, Tx Open Data
Bayern Open Data;Germany;Germany;Allemagne;"https://opendata.bayern.de/;jsessionid=F6AC107A6919C876C3CC45D5770E3A34?0";Open Data Portal of the region Bavaria;48.1351,11.582;48.1351;01/11/5820;Germany - Bayern Open Data;Allemagne - Bayern Open Data;germany;;;Local Government;Public Sector, Local Level;;;;;Alemania - Bayern Open Data
Buncombe County, Nc;United States;United States;Etats-Unis;http://buncombecounty.org/governing/depts/gis;;35.61,-82.53;35.61;-82.53;United States - Buncombe County, Nc;Etats-Unis - Buncombe County, Nc;united-states;;;Local Government;Public Sector, Local Level;;;;;Estados Unidos de América - Buncombe County, Nc
Cambridge,Ontario;Cambridge,Ontario;Canada;Canada;http://data.cityofcambridge.opendata.arcgis.com;Arcgis OpenData Portal;43.4045433834,-80.3339999999;43.40454338;-80334;Canada - Cambridge,Ontario;Canada - Cambridge,Ontario;canada;;;Local Government;Public Sector, Local Level;;;;;Canadá - Cambridge,Ontario
Center For Medicare & Medicad Services;United States;United States;Etats-Unis;http://data.cms.gov;;38.8951,-77.0367;38.8951;-77.0367;United States - Center For Medicare & Medicad Services;Etats-Unis - Center For Medicare & Medicad Services;united-states;;;Health;Public Sector, National Level;;;;;Estados Unidos de América - Center For Medicare & Medicad Services
Central Agency For Mobilization And Statistics;Egypt;Egypt;Egypte;http://capmas.gov.eg;;26.0,30.0;26;30;Egypt - Central Agency For Mobilization And Statistics;Egypte - Central Agency For Mobilization And Statistics;egypt;;;Statistics;Public Sector, National Level;;;;;Egipto - Central Agency For Mobilization And Statistics
Dc Gis;United States;United States;Etats-Unis;http://dcgis.dc.gov;;38.8897,-77.0111;38.8897;-77.0111;United States - Dc Gis;Etats-Unis - Dc Gis;united-states;;;Geospatial;Public Sector, National Level;;;;;Estados Unidos de América - Dc Gis
Edinburgh;Edinburgh;United Kingdom;Royaume-Uni;http://edinburghopendata.info;;55.9410456,-3.2755947;55.9410456;-3.2755947;United Kingdom - Edinburgh;Royaume-Uni - Edinburgh;united-kingdom;;;Local Government;Public Sector, Local Level;;;;;Reino Unido - Edinburgh
Environment Agency Austria Open Data;Austria;Austria;Autriche;http://umweltbundesamt.at/opendata;;48.2,16.35;48.2;16.35;Austria - Environment Agency Austria Open Data;Autriche - Environment Agency Austria Open Data;austria;;;Environment;Public Sector, National Level;;;;;Austria - Environment Agency Austria Open Data
Esri UK Technical Support Open Data;Esri UK Technical Support Open Data;United Kingdom;Royaume-Uni;http://esriuktechnicalsupportopendata.techsupportuk.opendata.arcgis.com;Arcgis OpenData Portal;54.335003225,-3.11841912699;54.33500323;-3.118419127;United Kingdom - Esri UK Technical Support Open Data;Royaume-Uni - Esri UK Technical Support Open Data;united-kingdom;;;Geospatial;Business;;;;;Reino Unido - Esri UK Technical Support Open Data
Global Stat;European University Institute, Florence & Francisco Manuel dos Santos Foundation, Lisbon;Italy;Italie;http://www.globalstat.eu;"Database on Developments in a Globalised World; offers statistical data from 1960 onwards for 193 UN countries, 5 continents and 12 political and regional entities gathered from over 80 international sources. The freely accessible database is structured in 12 thematic and 3 horizontal areas. Its particular data structure allows for comparison across time and space.";48.856614,2.3522219;48.856614;2.3522219;Italy - Global Stat;Italie - Global Stat;italy;;;Statistics;Others (Associations, Universities);;;;;Italia - Global Stat
Healthdata.gov;Us Department Of Health And Human Services;United States;Etats-Unis;http://www.healthdata.gov;Official portal for US Government health data.;39.76,-98.5;39.76;-98.5;United States - Healthdata.gov;Etats-Unis - Healthdata.gov;united-states;;;Health;Public Sector, National Level;;;;;Estados Unidos de América - Healthdata.gov
Helsinki Region Infoshare;Finland;Finland;Finlande;http://www.hri.fi/fi;;64.0,26.0;64;26;Finland - Helsinki Region Infoshare;Finlande - Helsinki Region Infoshare;finland;;;Local Government;Public Sector, Local Level;;;;;Finlandia - Helsinki Region Infoshare
imb Mapping;imb Mapping;Iran, Islamic Rep. of;Iran, Rép. islamique d';http://go.imb.opendata.arcgis.com;Arcgis OpenData Portal;38.9878770622,48.33984375;38.98787706;48.33984375;Iran, Islamic Rep. of - imb Mapping;Iran, Rép. islamique d' - imb Mapping;iran-islamic-rep.-of;;;Geospatial;Others (Associations, Universities);;;;;Irán - imb Mapping
International Union Of Geological Scientists;International Organizations;China;Chine;http://iugs.org;;39.9390731,116.1172755;39.9390731;116.1172755;China - International Union Of Geological Scientists;Chine - International Union Of Geological Scientists;china;;;Environment;Public Sector, International Level;;;;;China - International Union Of Geological Scientists
Kenya National Bureau Of Statistics;Kenya;Kenya;Kenya;http://knbs.or.ke;;-1.2667,36.8;-1.2667;36.8;Kenya - Kenya National Bureau Of Statistics;Kenya - Kenya National Bureau Of Statistics;kenya;;;Statistics;Public Sector, National Level;;;;;Kenia - Kenya National Bureau Of Statistics
Local Government Association of South Australia Data;Local Government Association of South Australia;Australia;Australie;http://data.sa.gov.au/data/organization/local-Government-association-of-sa;Local Government Association of South Australia open data;-30.058333,135.763333;-30.058333;135.763333;Australia - Local Government Association of South Australia Data;Australie - Local Government Association of South Australia Data;australia;;;Local Government;Public Sector, Local Level;;;;;Australia - Local Government Association of South Australia Data
Lorca;Spain;Spain;Espagne;http://datos.lorca.es;;37.6798,-1.6944;37.6798;-1.6944;Spain - Lorca;Espagne - Lorca;spain;;;Local Government;Public Sector, Local Level;;;;;España - Lorca
Meteorological Services;Barbados;Barbados;Barbade;http://barbadosweather.org;;13.1667,-59.55;13.1667;-59.55;Barbados - Meteorological Services;Barbade - Meteorological Services;barbados;;;Weather Forecast;Public Sector, National Level;;;;;Barbados - Meteorological Services
Ministry Of Education;Panama;Panama;Panama;http://meduca.gob.pa;;8.9667,-79.5333;01/08/9667;-79.5333;Panama - Ministry Of Education;Panama - Ministry Of Education;panama;;;Statistics;Public Sector, National Level;;;;;Panamá - Ministry Of Education
Ministry Of Energy And Mines;Indonesia;Indonesia;Indonésie;http://esdm.go.id;;-6.175,106.8283;-6175;106.8283;Indonesia - Ministry Of Energy And Mines;Indonésie - Ministry Of Energy And Mines;indonesia;;;Environment;Public Sector, National Level;;;;;Indonesia - Ministry Of Energy And Mines
Minnesota Geological Survey;United States;United States;Etats-Unis;http://mngs.umn.edu;;44.97528,-93.23417;44.97528;-93.23417;United States - Minnesota Geological Survey;Etats-Unis - Minnesota Geological Survey;united-states;;;Environment;Public Sector, Local Level;;;;;Estados Unidos de América - Minnesota Geological Survey
Mittenwalde Open Data;Open Data Stadt Mittenwalde;Germany;Allemagne;http://stadt.mittenwalde.opendata.arcgis.com;Arcgis OpenData Portal;52.2318752045,13.5303585205;52.2318752;13.53035852;Germany - Mittenwalde Open Data;Allemagne - Mittenwalde Open Data;germany;;;Local Government;Public Sector, Local Level;;;;;Alemania - Mittenwalde Open Data
Nanaimo, British Columbia;City Of Nanaimo;Canada;Canada;http://data.nanaimo.ca;Uses [Open Data Publisher](http://opendatapublisher.codeplex.com/), a fork of Microsoft's [OGDI project](http://ogdi.codeplex.com/). The City of Nanaimo is currently investigating options for formal open data licensing. See the [disclaimer](http://www.nanaimo.ca/EN/main/departments/106/DataCatalogue/Licence.html). Offers an [API](http://www.nanaimo.ca/EN/main/departments/106/DataCatalogue/Developers.html).;49.166337382,-123.936012692;49.16633738;-123.9360127;Canada - Nanaimo, British Columbia;Canada - Nanaimo, British Columbia;canada;;;Local Government;Public Sector, Local Level;;;;;Canadá - Nanaimo, British Columbia
Newark, Nj Open Data;United States;United States;Etats-Unis;http://data.ci.newark.nj.us;;40.7242,-74.1726;40.7242;-74.1726;United States - Newark, Nj Open Data;Etats-Unis - Newark, Nj Open Data;united-states;;;Local Government;Public Sector, Local Level;;;;;Estados Unidos de América - Newark, Nj Open Data
Niue Meteorological Service;Niue;New Zealand;Nouvelle-Zélande;http://informet.net/niuemet;;-19.05,-169.9167;-19.05;-169.9167;New Zealand - Niue Meteorological Service;Nouvelle-Zélande - Niue Meteorological Service;new-zealand;;;Weather Forecast;Public Sector, Local Level;;;;;Nueva Zelanda - Niue Meteorological Service
Norfolk County Open Data Portal;Norfolk GIS;Canada;Canada;http://opendata.norfolkcounty.ca;;42.8361608,-80.3091238;42.8361608;-80.3091238;Canada - Norfolk County Open Data Portal;Canada - Norfolk County Open Data Portal;canada;;;Local Government;Public Sector, Local Level;;;;;Norfolk County Open Data Portal
Oficina Nacional De Meteorologiá;Dominican Republic;Dominican Republic;République Dominicaine;http://onamet.gov.do;;19.0,-70.6667;19;-70.6667;Dominican Republic - Oficina Nacional De Meteorologiá;République Dominicaine - Oficina Nacional De Meteorologiá;dominican-republic;;;Weather Forecast;Public Sector, National Level;;;;;República Dominicana - Oficina Nacional De Meteorologiá
Open Access Directory;United States;United States;Etats-Unis;http://oad.simmons.edu;;42.3398,-71.1002;42.3398;-71.1002;United States - Open Access Directory;Etats-Unis - Open Access Directory;united-states;;;Other;Others (Associations, Universities);;;;;Estados Unidos de América - Open Access Directory
Openei – Open Energy Info;U.s. National Renewable Energy Laboratory;United States;Etats-Unis;http://en.openei.org;An online community dedicated to information and data on energy resources. Provides access to energy-related information via geographic discovery, visualizations, and topic-oriented gateways. The site includes a data catalog of hundreds of energy-related datasets. Developed by the National Renewable Energy Laboratory (NREL) with funding from the U.S. Department of Energy.;39.3368748,-106.4360739;39.3368748;-106.4360739;United States - Openei – Open Energy Info;Etats-Unis - Openei – Open Energy Info;united-states;;;Environment;Public Sector, National Level;;;;;Estados Unidos de América - Openei – Open Energy Info
Openstreetmap;Openstreetmap Foundation;United Kingdom;Royaume-Uni;http://www.openstreetmap.org;Wikipedia for geo data;52.4599336,-1.8706147;52.4599336;-1.8706147;United Kingdom - Openstreetmap;Royaume-Uni - Openstreetmap;united-kingdom;;;Geospatial;Others (Associations, Universities);;;;;Reino Unido - Openstreetmap
Parisdata;Ville De Paris;France;France;http://opendata.paris.fr;France's capital Paris OpenData store;48.85341,2.3488;48.85341;01/02/3488;France - Parisdata;France - Parisdata;france;;;Local Government;Public Sector, Local Level;;;;;Francia - Parisdata
Pennsylvania Transparency;United States;United States;Etats-Unis;http://www.pennwatch.pa.gov;;39.96278,-76.72806;39.96278;-76.72806;United States - Pennsylvania Transparency;Etats-Unis - Pennsylvania Transparency;united-states;;;Local Government;Public Sector, Local Level;;;;;Estados Unidos de América - Pennsylvania Transparency
Salzgitter;Germany;Germany;Allemagne;https://offenedaten.de/organization/salzgitter;;52.1379,10.3899;52.1379;01/10/3899;Germany - Salzgitter;Allemagne - Salzgitter;germany;;;Others (Associations,Universities);Others (Associations, Universities);;;;;Alemania - Salzgitter
Québec, Québec;Ville De Québec;Canada;Canada;http://donnees.ville.quebec.qc.ca;You may send feedback via [email](Application.DonneesOuvertes@Ville.quebec.qc.ca) or [webform](http://donnees.ville.quebec.qc.ca/nousjoindre.aspx). Uses its [own license](http://donnees.ville.quebec.qc.ca/licence.aspx).;46.8122791164,-71.2145376205;46.81227912;-71.21453762;Canada - Québec, Québec;Canada - Québec, Québec;canada;;;Local Government;Public Sector, Local Level;;;;;Canadá - Québec, Québec
Trove;National Library of Australia;Australia;Australie;http://trove.nla.gov.au;Trove helps you find and use resources relating to Australia. It's more than a search engine. Trove brings together content from libraries, museums, archives and other research organisations and gives you tools to explore and build.;-23.033333,133.416667;-23.033333;133.416667;Australia - Trove;Australie - Trove;australia;;;Media;Public Sector, National Level;;;;;Australia - Trove
Region Västmanlands öppna data;Region Västmanland;Sweden;Suède;https://www.regionvastmanland.se/om-regionen/oppna-data;Health, transportation, demographics;59.624592,16.5450907;59.624592;16.5450907;Sweden - Region Västmanlands öppna data;Suède - Region Västmanlands öppna data;sweden;;;Local Government;Public Sector, Local Level;;;;;Region Västmanlands öppna data
Singapore Land Authority;Singapore;Singapore;Singapour;http://www.sla.gov.sg;;1.3,103.8;01/03/2016;103.8;Singapore - Singapore Land Authority;Singapour - Singapore Land Authority;singapore;;;Geospatial,Economy;Public Sector, National Level;;;;;Singapur - Singapore Land Authority
South Carolina Geograhic Information Services;United States;United States;Etats-Unis;http://www.gis.sc.gov/data.html;;34.00083,-81.03528;34.00083;-81.03528;United States - South Carolina Geograhic Information Services;Etats-Unis - South Carolina Geograhic Information Services;united-states;;;Local Government;Public Sector, Local Level;;;;;Estados Unidos de América - South Carolina Geograhic Information Services
South Carolina Geological Survey;United States;United States;Etats-Unis;http://dnr.sc.gov/geology;;34.00083,-81.03528;34.00083;-81.03528;United States - South Carolina Geological Survey;Etats-Unis - South Carolina Geological Survey;united-states;;;Environment;Public Sector, Local Level;;;;;Estados Unidos de América - South Carolina Geological Survey
State Statistics Committee;Ukraine;Ukraine;Ukraine;http://ukrstat.gov.ua;;49.0,32.0;49;32;Ukraine - State Statistics Committee;Ukraine - State Statistics Committee;ukraine;;;Statistics;Public Sector, National Level;;;;;Ucrania - State Statistics Committee
Tampere Open Data;Finland;Finland;Finlande;http://www.tampere.fi/tampereen-kaupunki/tietoa-tampereesta/avoin-data.html;;61.5,23.7667;61.5;23.7667;Finland - Tampere Open Data;Finlande - Tampere Open Data;finland;;;Local Government;Public Sector, Local Level;;;;;Finlandia - Tampere Open Data
Unesco Atlas Of The World's Languages In Danger;United Nations;United States;Etats-Unis;http://unesco.org/culture/languages-atlas/index.php;;40.749,-73.968;40749;-73968;United States - Unesco Atlas Of The World's Languages In Danger;Etats-Unis - Unesco Atlas Of The World's Languages In Danger;united-states;;;Statistics;Public Sector, International Level;;;;;Estados Unidos de América - Unesco Atlas Of The World's Languages In Danger
Usda National Nutrient Database;United States;United States;Etats-Unis;http://ndb.nal.usda.gov/ndb;;38.8951,-77.0367;38.8951;-77.0367;United States - Usda National Nutrient Database;Etats-Unis - Usda National Nutrient Database;united-states;;;Health;Public Sector, National Level;;;;;Estados Unidos de América - Usda National Nutrient Database
Wyndham City Council Data;Wyndham City Council;Australia;Australie;http://data.gov.au/organization/wyndham-city-council;Wyndham City Council open data;-37.897427,144.670497;-37.897427;144.670497;Australia - Wyndham City Council Data;Australie - Wyndham City Council Data;australia;;;Local Government;Public Sector, Local Level;;;;;Australia - Wyndham City Council Data
神戸市情報マップ ダウンロードページ;神戸市情報マップ ダウンロードページ;Japan;Japon;http://opengis.kobecity.opendata.arcgis.com;Arcgis OpenData Portal;34.7339724627,135.16530593;34.73397246;135.1653059;Japan - 神戸市情報マップ ダウンロードページ;Japon - 神戸市情報マップ ダウンロードページ;japan;;;Geospatial;Public Sector, Local Level;;;;;Japón - 神戸市情報マップ ダウンロードページ
City of Houston Open Data;City of Houston;United States;Etats-Unis;https://cohgis-mycity.opendata.arcgis.com;City of Houston Open Data Portal;29.755911,-95.364373;29.755911;-95.364373;United States - City of Houston Open Data;Etats-Unis - City of Houston Open Data;united-states;2019-11-20T20:14:40-05:00;phillipcarew@outlook.com;Administration,Economy,Geospatial;Public Sector, National Level;;;;;pais - City of Houston Open Data
Joint stock commercial bank «Agrobank»;Joint stock commercial bank «Agrobank»;Uzbekistan;Ouzbékistan;https://agrobank.uz/uz/page/uz_opendata;;;4;128;Uzbekistan - Joint stock commercial bank «Agrobank»;Ouzbékistan - Joint stock commercial bank «Agrobank»;uzbekistan;2019-12-11T07:13:46-05:00;headoffice@agrobank.uz;Economy;Public Sector, National Level;830;169;219;940;pais - Joint stock commercial bank «Agrobank»
SINGLE PORTAL OF CORPORATE INFORMATION;SINGLE PORTAL OF CORPORATE INFORMATION;Uzbekistan;Ouzbékistan;http://openinfo.uz/en;;41.3258387,69.3227671;41.3258387;69.3227671;Uzbekistan - SINGLE PORTAL OF CORPORATE INFORMATION;Ouzbékistan - SINGLE PORTAL OF CORPORATE INFORMATION;uzbekistan;2019-12-12T01:56:42-05:00;info@csm.gov.uz;Administration;Public Sector, National Level;;;;;pais - SINGLE PORTAL OF CORPORATE INFORMATION
The Council of Ministers of the Republic of Karakalpakstan;The Council of Ministers of the Republic of Karakalpakstan;Uzbekistan;Ouzbékistan;http://karakalpakstan.uz/oz/page/show/256;;59.611385,42.457727;59.611385;42.457727;Uzbekistan - The Council of Ministers of the Republic of Karakalpakstan;Ouzbékistan - The Council of Ministers of the Republic of Karakalpakstan;uzbekistan;2019-12-12T08:03:24-05:00;info@sovminrk.gov.uz;Administration;Public Sector, National Level;;;;;pais - The Council of Ministers of the Republic of Karakalpakstan
